region_code,region_name,scenario,period,delta_ambient_C,delta_moisture
UKC,North East,RCP2.6,2030,+0.290,-0.0084
UKC,North East,RCP2.6,2050,+0.780,-0.0252
UKC,North East,RCP2.6,2080,+1.480,-0.0504
UKC,North East,RCP4.5,2030,+0.500,-0.0120
UKC,North East,RCP4.5,2050,+1.200,-0.0360
UKC,North East,RCP4.5,2080,+2.200,-0.0720
UKC,North East,RCP8.5,2030,+0.990,-0.0204
UKC,North East,RCP8.5,2050,+2.180,-0.0612
UKC,North East,RCP8.5,2080,+3.880,-0.1224
UKD,North West,RCP2.6,2030,+0.390,-0.0098
UKD,North West,RCP2.6,2050,+0.880,-0.0294
UKD,North West,RCP2.6,2080,+1.580,-0.0588
UKD,North West,RCP4.5,2030,+0.600,-0.0140
UKD,North West,RCP4.5,2050,+1.300,-0.0420
UKD,North West,RCP4.5,2080,+2.300,-0.0840
UKD,North West,RCP8.5,2030,+1.090,-0.0238
UKD,North West,RCP8.5,2050,+2.280,-0.0714
UKD,North West,RCP8.5,2080,+3.980,-0.1428
UKE,Yorkshire and the Humber,RCP2.6,2030,+0.390,-0.0112
UKE,Yorkshire and the Humber,RCP2.6,2050,+0.880,-0.0336
UKE,Yorkshire and the Humber,RCP2.6,2080,+1.580,-0.0672
UKE,Yorkshire and the Humber,RCP4.5,2030,+0.600,-0.0160
UKE,Yorkshire and the Humber,RCP4.5,2050,+1.300,-0.0480
UKE,Yorkshire and the Humber,RCP4.5,2080,+2.300,-0.0960
UKE,Yorkshire and the Humber,RCP8.5,2030,+1.090,-0.0272
UKE,Yorkshire and the Humber,RCP8.5,2050,+2.280,-0.0816
UKE,Yorkshire and the Humber,RCP8.5,2080,+3.980,-0.1632
UKF,East Midlands,RCP2.6,2030,+0.490,-0.0126
UKF,East Midlands,RCP2.6,2050,+0.980,-0.0378
UKF,East Midlands,RCP2.6,2080,+1.680,-0.0756
UKF,East Midlands,RCP4.5,2030,+0.700,-0.0180
UKF,East Midlands,RCP4.5,2050,+1.400,-0.0540
UKF,East Midlands,RCP4.5,2080,+2.400,-0.1080
UKF,East Midlands,RCP8.5,2030,+1.190,-0.0306
UKF,East Midlands,RCP8.5,2050,+2.380,-0.0918
UKF,East Midlands,RCP8.5,2080,+4.080,-0.1836
UKG,West Midlands,RCP2.6,2030,+0.490,-0.0126
UKG,West Midlands,RCP2.6,2050,+0.980,-0.0378
UKG,West Midlands,RCP2.6,2080,+1.680,-0.0756
UKG,West Midlands,RCP4.5,2030,+0.700,-0.0180
UKG,West Midlands,RCP4.5,2050,+1.400,-0.0540
UKG,West Midlands,RCP4.5,2080,+2.400,-0.1080
UKG,West Midlands,RCP8.5,2030,+1.190,-0.0306
UKG,West Midlands,RCP8.5,2050,+2.380,-0.0918
UKG,West Midlands,RCP8.5,2080,+4.080,-0.1836
UKH,East of England,RCP2.6,2030,+0.590,-0.0154
UKH,East of England,RCP2.6,2050,+1.080,-0.0462
UKH,East of England,RCP2.6,2080,+1.780,-0.0924
UKH,East of England,RCP4.5,2030,+0.800,-0.0220
UKH,East of England,RCP4.5,2050,+1.500,-0.0660
UKH,East of England,RCP4.5,2080,+2.500,-0.1320
UKH,East of England,RCP8.5,2030,+1.290,-0.0374
UKH,East of England,RCP8.5,2050,+2.480,-0.1122
UKH,East of England,RCP8.5,2080,+4.180,-0.2244
UKI,London,RCP2.6,2030,+0.790,-0.0168
UKI,London,RCP2.6,2050,+1.280,-0.0504
UKI,London,RCP2.6,2080,+1.980,-0.1008
UKI,London,RCP4.5,2030,+1.000,-0.0240
UKI,London,RCP4.5,2050,+1.700,-0.0720
UKI,London,RCP4.5,2080,+2.700,-0.1440
UKI,London,RCP8.5,2030,+1.490,-0.0408
UKI,London,RCP8.5,2050,+2.680,-0.1224
UKI,London,RCP8.5,2080,+4.380,-0.2448
UKJ,South East,RCP2.6,2030,+0.690,-0.0168
UKJ,South East,RCP2.6,2050,+1.180,-0.0504
UKJ,South East,RCP2.6,2080,+1.880,-0.1008
UKJ,South East,RCP4.5,2030,+0.900,-0.0240
UKJ,South East,RCP4.5,2050,+1.600,-0.0720
UKJ,South East,RCP4.5,2080,+2.600,-0.1440
UKJ,South East,RCP8.5,2030,+1.390,-0.0408
UKJ,South East,RCP8.5,2050,+2.580,-0.1224
UKJ,South East,RCP8.5,2080,+4.280,-0.2448
UKK,South West,RCP2.6,2030,+0.590,-0.0154
UKK,South West,RCP2.6,2050,+1.080,-0.0462
UKK,South West,RCP2.6,2080,+1.780,-0.0924
UKK,South West,RCP4.5,2030,+0.800,-0.0220
UKK,South West,RCP4.5,2050,+1.500,-0.0660
UKK,South West,RCP4.5,2080,+2.500,-0.1320
UKK,South West,RCP8.5,2030,+1.290,-0.0374
UKK,South West,RCP8.5,2050,+2.480,-0.1122
UKK,South West,RCP8.5,2080,+4.180,-0.2244
UKL,Wales,RCP2.6,2030,+0.490,-0.0112
UKL,Wales,RCP2.6,2050,+0.980,-0.0336
UKL,Wales,RCP2.6,2080,+1.680,-0.0672
UKL,Wales,RCP4.5,2030,+0.700,-0.0160
UKL,Wales,RCP4.5,2050,+1.400,-0.0480
UKL,Wales,RCP4.5,2080,+2.400,-0.0960
UKL,Wales,RCP8.5,2030,+1.190,-0.0272
UKL,Wales,RCP8.5,2050,+2.380,-0.0816
UKL,Wales,RCP8.5,2080,+4.080,-0.1632
UKM,Scotland,RCP2.6,2030,+0.190,-0.0070
UKM,Scotland,RCP2.6,2050,+0.680,-0.0210
UKM,Scotland,RCP2.6,2080,+1.380,-0.0420
UKM,Scotland,RCP4.5,2030,+0.400,-0.0100
UKM,Scotland,RCP4.5,2050,+1.100,-0.0300
UKM,Scotland,RCP4.5,2080,+2.100,-0.0600
UKM,Scotland,RCP8.5,2030,+0.890,-0.0170
UKM,Scotland,RCP8.5,2050,+2.080,-0.0510
UKM,Scotland,RCP8.5,2080,+3.780,-0.1020
UKN,Northern Ireland,RCP2.6,2030,+0.290,-0.0098
UKN,Northern Ireland,RCP2.6,2050,+0.780,-0.0294
UKN,Northern Ireland,RCP2.6,2080,+1.480,-0.0588
UKN,Northern Ireland,RCP4.5,2030,+0.500,-0.0140
UKN,Northern Ireland,RCP4.5,2050,+1.200,-0.0420
UKN,Northern Ireland,RCP4.5,2080,+2.200,-0.0840
UKN,Northern Ireland,RCP8.5,2030,+0.990,-0.0238
UKN,Northern Ireland,RCP8.5,2050,+2.180,-0.0714
UKN,Northern Ireland,RCP8.5,2080,+3.880,-0.1428
